"SampleID","TAXAID","TotTranLngth_m","Juvenile","DiamMax_cm","DiamPerp_cm","Height_cm","TotMort_pct"
"Samp0199","Pseudodiploria clivosa",10,FALSE,44,29,28,45
"Samp0199","Porites porites",10,FALSE,7,3,6,30
"Samp0199","Porites porites",10,FALSE,6,2,4,80
"Samp0199","Porites porites",10,FALSE,5,3,4,60
"Samp0199","Porites astreoides",10,FALSE,8,5,4,0
"Samp0199","Dichocoenia stokesii",10,FALSE,15,10,12,25
"Samp0199","Dichocoenia stokesii",10,FALSE,5,3,3,0
"Samp0199","Dichocoenia stokesii",10,FALSE,4,2,2,0
"Samp0209","Siderastrea siderea",10,FALSE,10,7,3,25
"Samp0209","Porites astreoides",10,FALSE,50,30,40,60
"Samp0209","Porites astreoides",10,FALSE,45,25,15,60
"Samp0209","Porites astreoides",10,FALSE,30,21,20,30
"Samp0209","Porites astreoides",10,FALSE,29,25,18,30
"Samp0209","Porites astreoides",10,FALSE,25,19,9,15
"Samp0209","Porites astreoides",10,FALSE,25,24,12,15
"Samp0209","Porites astreoides",10,FALSE,25,20,12,20
"Samp0209","Porites astreoides",10,FALSE,22,17,5,5
"Samp0209","Porites astreoides",10,FALSE,20,14,11,40
"Samp0209","Porites astreoides",10,FALSE,18,8,7,90
"Samp0209","Porites astreoides",10,FALSE,18,14,9,15
"Samp0209","Porites astreoides",10,FALSE,17,12,5,85
"Samp0209","Porites astreoides",10,FALSE,17,11,12,10
"Samp0209","Porites astreoides",10,FALSE,16,14,7,0
"Samp0209","Porites astreoides",10,FALSE,13,9,6,0
"Samp0209","Porites astreoides",10,FALSE,13,8,7,60
"Samp0209","Porites astreoides",10,FALSE,12,7,2,15
"Samp0209","Porites astreoides",10,FALSE,11,6,1,20
"Samp0209","Porites astreoides",10,FALSE,9,7,7,0
"Samp0209","Porites astreoides",10,FALSE,8,5,2,10
"Samp0209","Porites astreoides",10,FALSE,7,7,3,80
"Samp0209","Porites astreoides",10,FALSE,7,7,5,10
"Samp0209","Porites astreoides",10,FALSE,6,6,2,0
"Samp0209","Porites astreoides",10,FALSE,6,5,2,0
"Samp0209","Porites astreoides",10,FALSE,6,5,5,15
"Samp0209","Porites astreoides",10,FALSE,5,5,5,0
"Samp0209","Montastraea cavernosa",10,FALSE,90,68,40,75
