DataSource,SampleID,TotTranLngth_m,SampDate,TAXAID,CommonName,Juvenile,DiamMax_cm,DiamPerp_cm,Height_cm,TotMort_pct,BCG_ATTR,Weedy,LRBC,MorphConvFact,Phylum,Class,SubClass,Order,Family,Genus,SubGenus,Species
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,TRUE,,,,0,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,TRUE,,,,90,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,TRUE,,,,0,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,TRUE,,,,0,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,7,5,1,0,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,4,4,1,0,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,6,5,3,65,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,6,4,2,15,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,10,7,3,1,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,16,16,6,12,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,7,7,5,35,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,7,7,2,11,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,4,4,1,1,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,9,3,1,10,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,FALSE,5,4,3,5,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,12,12,9,91,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,6,3,3,25,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,23,18,16,18,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,19,18,7,98,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,25,15,15,76,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,23,12,15,82,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,12,11,6,97,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,25,20,10,92,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,5,5,10,60,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,11,6,11,92,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,4,3,2,0,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,8,6,8,5,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,7,5,4,10,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,9,4,3,70,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,13,12,7,90,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,18,11,9,90,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,12,5,3,70,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0004,10,5/28/2015,Porites porites,Clubtip finger coral,FALSE,14,12,12,80,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
