INDEX_CLASS,SampleID,TAXAID,N_TAXA
CIP_medium,KS_0043,HYDROPSYCHIDAE,13
CIP_medium,KS_0043,ISCHNURA,1
CIP_medium,KS_0043,LEUCROCUTA MACULIPENNIS,3
CIP_medium,KS_0043,MACCAFFERTIUM TERMINATUM,1
CIP_medium,KS_0043,MACROMIA,1
CIP_medium,KS_0043,MUSCULIUM,3
CIP_medium,KS_0043,MUSCULIUM TRANSVERSUM,21
CIP_medium,KS_0043,NEOPERLA,12
CIP_medium,KS_0043,NEOPORUS DIMIDIATUS,5
CIP_medium,KS_0043,ORCONECTES,6
CIP_medium,KS_0043,ORCONECTES VIRILIS,2
CIP_medium,KS_0043,PERLESTA,6
CIP_medium,KS_0043,PHAENOPSECTRA,1
CIP_medium,KS_0043,PHYSELLA GYRINA,2
CIP_medium,KS_0043,POLYPEDILUM,2
CIP_medium,KS_0043,POLYPEDILUM (POLYPEDILUM) FALLAX GR.,1
CIP_medium,KS_0043,POLYPEDILUM (TRIPODURA),1
CIP_medium,KS_0043,POLYPEDILUM (URESIPEDILUM) CONVICTUM,6
CIP_medium,KS_0043,RHAGOVELIA,1
CIP_medium,KS_0043,RHEOTANYTARSUS,2
CIP_medium,KS_0043,SIMULIUM,1
CIP_medium,KS_0043,STENACRON INTERPUNCTATUM,11
CIP_medium,KS_0043,STENELMIS,15
CIP_medium,KS_0043,STENELMIS SEXLINEATA,14
CIP_medium,KS_0043,STENELMIS VITTIPENNIS,1
CIP_medium,KS_0043,STICTOCHIRONOMUS,7
CIP_medium,KS_0043,THIENEMANNIMYIA GROUP,2
CIP_medium,KS_0043,TRICORYTHODES,2
CIP_medium,KS_0043,TROPISTERNUS,1
CIP_medium,KS_0044,ABLABESMYIA,1
CIP_medium,KS_0044,ARGIA,18
CIP_medium,KS_0044,BAETIS,28
CIP_medium,KS_0044,CAENIS,1
CIP_medium,KS_0044,CHEUMATOPSYCHE,75
CIP_medium,KS_0044,CHIMARRA OBSCURA,3
CIP_medium,KS_0044,CHIRONOMIDAE,1
CIP_medium,KS_0044,CHIRONOMUS,1
CIP_medium,KS_0044,CORBICULA FLUMINEA,8
CIP_medium,KS_0044,CORYDALUS CORNUTUS,1
CIP_medium,KS_0044,CRYPTOCHIRONOMUS,2
CIP_medium,KS_0044,DICROTENDIPES NEOMODESTUS,1
CIP_medium,KS_0044,DINEUTUS,1
CIP_medium,KS_0044,DROMOGOMPHUS SPINOSUS,1
CIP_medium,KS_0044,DUBIRAPHIA,12
CIP_medium,KS_0044,DUGESIA,2
CIP_medium,KS_0044,ENALLAGMA,18
CIP_medium,KS_0044,ENOCHRUS,1
CIP_medium,KS_0044,ERPOBDELLA,2
CIP_medium,KS_0044,GOMPHUS EXTERNUS,1
CIP_medium,KS_0044,HELICOPSYCHE,3
CIP_medium,KS_0044,HELICOPSYCHE PIORA,4
CIP_medium,KS_0044,HELOPHORUS,1
CIP_medium,KS_0044,HETAERINA AMERICANA,1
CIP_medium,KS_0044,HYALELLA AZTECA,9
CIP_medium,KS_0044,HYDROPSYCHE SIMULANS,12
